sample,participant,image,x,y,r
0,a,23.jpeg,168,60,50
1,a,23.jpeg,193,225,50
2,a,23.jpeg,309,193,50
3,a,23.jpeg,274,443,50
4,a,9.jpeg,216,585,50
5,a,9.jpeg,217,585,50
6,a,9.jpeg,366,628,50
7,a,9.jpeg,415,384,50
8,a,9.jpeg,336,379,50
9,a,9.jpeg,366,311,50
10,a,9.jpeg,324,107,50
11,a,9.jpeg,454,127,50
12,a,9.jpeg,395,283,50
13,a,9.jpeg,312,326,50
14,a,9.jpeg,242,360,50
15,a,9.jpeg,256,470,50
16,a,9.jpeg,282,507,50
17,a,9.jpeg,280,613,50
18,a,9.jpeg,302,499,50
19,a,9.jpeg,192,515,50
20,a,21.jpeg,259,431,50
21,a,21.jpeg,152,617,50
22,b,23.jpeg,187,269,50
23,b,23.jpeg,187,214,50
24,b,23.jpeg,191,170,50
25,b,23.jpeg,262,162,50
26,b,23.jpeg,261,222,50
27,b,23.jpeg,234,276,50
28,b,23.jpeg,191,302,50
29,b,23.jpeg,116,279,50
30,b,23.jpeg,116,81,50
31,b,23.jpeg,67,69,50
32,b,23.jpeg,35,131,50
33,b,23.jpeg,62,308,50
34,b,23.jpeg,64,382,50
35,b,23.jpeg,42,414,50
36,b,23.jpeg,117,401,50
37,b,23.jpeg,123,496,50
38,b,23.jpeg,124,634,50
39,b,23.jpeg,65,659,50
40,b,23.jpeg,184,577,50
41,b,23.jpeg,267,505,50
42,b,23.jpeg,363,566,50
43,b,23.jpeg,416,638,50
44,b,23.jpeg,364,669,50
45,b,23.jpeg,231,662,50
46,b,23.jpeg,155,649,50
47,b,23.jpeg,321,584,50
48,b,23.jpeg,290,610,50
49,b,23.jpeg,508,67,50
50,b,23.jpeg,446,99,50
51,b,23.jpeg,446,203,50
52,b,23.jpeg,506,200,50
53,b,23.jpeg,506,268,50
54,b,23.jpeg,518,369,50
55,b,23.jpeg,575,401,50
56,b,23.jpeg,555,527,50
57,b,23.jpeg,272,696,50
58,b,23.jpeg,299,730,50
59,b,23.jpeg,403,149,50
60,b,23.jpeg,341,71,50
61,b,23.jpeg,199,71,50
62,b,23.jpeg,154,107,50
63,b,23.jpeg,154,168,50
64,b,23.jpeg,163,306,50
65,b,23.jpeg,379,229,50
66,b,23.jpeg,251,208,50
67,b,23.jpeg,231,247,50
68,b,23.jpeg,231,251,50
69,b,23.jpeg,194,303,50
70,b,39.jpeg,386,192,50
71,b,39.jpeg,347,160,50
72,b,39.jpeg,257,186,50
73,b,39.jpeg,295,110,50
74,b,39.jpeg,360,132,50
75,b,39.jpeg,359,218,50
76,b,39.jpeg,357,255,50
77,b,39.jpeg,218,259,50
78,b,39.jpeg,86,254,50
79,b,39.jpeg,54,306,50
80,b,39.jpeg,61,357,50
81,b,39.jpeg,64,425,50
82,b,39.jpeg,147,389,50
83,b,39.jpeg,147,477,50
84,b,39.jpeg,147,477,50
85,b,39.jpeg,95,532,50
86,b,39.jpeg,46,609,50
87,b,39.jpeg,103,634,50
88,b,39.jpeg,147,645,50
89,b,39.jpeg,256,674,50
90,b,39.jpeg,316,635,50
91,b,39.jpeg,393,634,50
92,b,39.jpeg,485,634,50
93,b,39.jpeg,485,634,50
94,b,39.jpeg,492,626,50
95,b,39.jpeg,450,608,50
96,b,39.jpeg,373,582,50
97,b,39.jpeg,264,588,50
98,b,39.jpeg,260,588,50
99,b,39.jpeg,216,587,50
100,b,39.jpeg,269,520,50
101,b,39.jpeg,290,520,50
102,b,39.jpeg,281,467,50
103,b,39.jpeg,286,343,50
104,b,39.jpeg,286,343,50
105,b,39.jpeg,298,382,50
106,b,39.jpeg,298,394,50
107,b,39.jpeg,299,415,50
108,b,39.jpeg,317,438,50
109,b,39.jpeg,425,454,50
110,b,39.jpeg,481,418,50
111,b,39.jpeg,431,343,50
112,b,39.jpeg,476,331,50
113,b,39.jpeg,436,255,50
114,b,39.jpeg,365,170,50
115,b,39.jpeg,299,59,50
