participant,image,numberOfPoints,totalDistance,avgSegment,medianSegment
b,39,133,12924.63431,97.91389626,86.64348433
c,39,50,3944.550697,80.50103463,65.73431372
d,39,86,4905.718527,57.71433561,52
e,39,87,6870.648195,79.89125808,74.06077592
f,39,115,8542.814192,74.9369666,60.02104237
g,39,54,4420.672428,83.40891374,68.68041933
h,39,63,6337.030444,102.2101684,93.45565425
i,39,29,3001.954631,107.2126654,105.1538876
j,39,44,3187.423263,74.12612239,67.05221846
k,39,58,4073.451275,71.46405745,59.00847397
l,39,70,4443.066193,64.39226366,55.10898293
m,39,31,2918.613699,97.28712328,80.10225695
b,21,113,12717.02824,113.544895,90.29397281
c,21,13,969.2264963,80.76887469,50.6339992
d,21,160,10873.43152,68.38636175,56
e,21,55,4239.928489,78.51719424,69.09667502
f,21,70,5318.053716,77.07324227,59.07622195
g,21,104,5498.591893,53.38438731,48.41487375
h,21,45,5423.326249,123.2574148,123.175124
i,21,24,3134.143742,136.2671192,125.4830666
j,21,56,3977.213096,72.31296538,60.74537019
k,21,35,2528.506949,74.36785145,59.96246378
l,21,68,4144.148024,61.85295558,53
m,21,40,4325.864444,110.9196011,90.60905032
b,9,67,6651.577208,100.7814729,83.9367319
c,9,11,340.527494,34.0527494,11.78780911
d,9,32,2426.814601,78.28434198,69.46221995
e,9,27,3218.761533,123.7985205,122.6117817
f,9,12,1327.839345,120.7126678,128.0351514
g,9,25,1274.822985,53.11762439,38.91658593
h,9,29,4406.376626,157.3705938,137.8718891
i,9,3,254.7636916,127.3818458,127.3818458
j,9,9,804.5662701,100.5707838,102.5494889
k,9,12,1169.850409,106.3500372,75.2861209
l,9,30,2308.874029,79.61634583,76.15773106
m,9,16,1891.311874,126.0874583,119
b,23,48,5464.459051,116.2650862,76.11832894
c,23,269,19343.03893,72.17551838,53.67389994
d,23,50,5205.552913,106.2357737,82.03657721
e,23,72,9758.129749,137.4384472,89.49860334
f,23,60,8108.519483,137.4325336,76.4852927
g,23,87,8224.439383,95.63301609,61.62345506
h,23,39,3563.824808,93.78486336,83.77004011
i,23,32,4070.270286,131.2990415,96.87620967
j,23,40,4335.095074,111.1562839,79.69943538
k,23,20,2581.730969,135.8805773,98.47842403
l,23,5,438.1251963,109.5312991,108.3997801
m,23,65,8803.427069,137.553548,90.71539607
