sample,test,participant,image,x,y
0,bubbleview,a,23.jpeg,168,60
4,bubbleview,a,9.jpeg,216,585
20,bubbleview,a,21.jpeg,259,431
22,bubbleview,b,23.jpeg,187,269
70,bubbleview,b,39.jpeg,386,192
203,bubbleview,b,9.jpeg,341,408
270,bubbleview,b,21.jpeg,220,135
383,bubbleview,c,23.jpeg,552,365
652,bubbleview,c,39.jpeg,452,346
702,bubbleview,c,9.jpeg,569,449
713,bubbleview,c,21.jpeg,380,315
726,bubbleview,d,23.jpeg,172,494
776,bubbleview,d,39.jpeg,189,200
862,bubbleview,d,9.jpeg,274,387
894,bubbleview,d,21.jpeg,334,308
1054,bubbleview,e,23.jpeg,125,626
1126,bubbleview,e,39.jpeg,280,368
1213,bubbleview,e,9.jpeg,267,535
1240,bubbleview,e,21.jpeg,219,97
1295,bubbleview,f,23.jpeg,328,614
1355,bubbleview,f,39.jpeg,322,156
1470,bubbleview,f,9.jpeg,230,215
1482,bubbleview,f,21.jpeg,255,487
1552,bubbleview,g,23.jpeg,241,599
1639,bubbleview,g,39.jpeg,181,180
1693,bubbleview,g,9.jpeg,235,195
1718,bubbleview,g,21.jpeg,259,461
1822,bubbleview,h,23.jpeg,40,41
1861,bubbleview,h,39.jpeg,319,262
1924,bubbleview,h,9.jpeg,408,395
1953,bubbleview,h,21.jpeg,169,427
1998,bubbleview,i,23.jpeg,192,291
2030,bubbleview,i,39.jpeg,130,603
2059,bubbleview,i,9.jpeg,190,516
2062,bubbleview,i,21.jpeg,71,798
2086,bubbleview,j,23.jpeg,360,484
2126,bubbleview,j,39.jpeg,293,172
2170,bubbleview,j,9.jpeg,241,343
2179,bubbleview,j,21.jpeg,189,369
2235,bubbleview,k,23.jpeg,282,546
2255,bubbleview,k,39.jpeg,206,170
2313,bubbleview,k,9.jpeg,308,385
2325,bubbleview,k,21.jpeg,279,507
2360,bubbleview,l,23.jpeg,48,598
2365,bubbleview,l,39.jpeg,82,619
2435,bubbleview,l,9.jpeg,77,632
2465,bubbleview,l,21.jpeg,59,724
2533,bubbleview,m,23.jpeg,216,183
2598,bubbleview,m,39.jpeg,248,24
2629,bubbleview,m,9.jpeg,367,392
2645,bubbleview,m,21.jpeg,237,350
0,codecharts,a,23.jpeg,119.5,399.75
1,codecharts,a,39.jpeg,156.5,269.75
2,codecharts,a,9.jpeg,362.5,293.75
3,codecharts,a,21.jpeg,256.5,289.75
4,codecharts,b,23.jpeg,N/A,N/A
5,codecharts,b,39.jpeg,235.5,156.75
6,codecharts,b,9.jpeg,326.5,435.75
7,codecharts,b,21.jpeg,11.5,614.75
8,codecharts,c,23.jpeg,265.5,501.75
9,codecharts,c,39.jpeg,266.5,301.75
