Sample,Participant,Image,X,Y
0,a,23.jpeg,119.5,399.75
1,a,39.jpeg,156.5,269.75
2,a,9.jpeg,362.5,293.75
3,a,21.jpeg,256.5,289.75
4,b,23.jpeg,N/A,N/A
5,b,39.jpeg,235.5,156.75
6,b,9.jpeg,326.5,435.75
7,b,21.jpeg,11.5,614.75
8,c,23.jpeg,265.5,501.75
9,c,39.jpeg,266.5,301.75
10,c,9.jpeg,326.5,373.75
11,c,21.jpeg,89.5,331.75
12,d,23.jpeg,192.5,187.75
13,d,39.jpeg,293.5,372.75
14,d,9.jpeg,290.5,289.75
15,d,21.jpeg,332.5,513.75
16,e,23.jpeg,268.5,262.75
17,e,39.jpeg,83.5,124.75
18,e,9.jpeg,94.5,229.75
19,e,21.jpeg,229.5,190.75
20,f,23.jpeg,227.5,190.75
21,f,39.jpeg,227.5,288.75
22,f,9.jpeg,361.5,468.75
23,f,21.jpeg,221.5,231.75
24,g,23.jpeg,266.5,185.75
25,g,39.jpeg,328.5,330.75
26,g,9.jpeg,301.5,364.75
27,g,21.jpeg,304.5,515.75
28,h,23.jpeg,289.5,228.75
29,h,39.jpeg,550.5,291.75
30,h,9.jpeg,87.5,325.75
31,h,21.jpeg,501.5,365.75
32,i,23.jpeg,540.5,713.75
33,i,39.jpeg,545.5,126.75
34,i,9.jpeg,194.5,337.75
35,i,21.jpeg,229.5,221.75
36,j,23.jpeg,N/A,N/A
37,j,39.jpeg,154.5,160.75
38,j,9.jpeg,221.5,340.75
39,j,21.jpeg,95.5,191.75
40,k,23.jpeg,117.5,709.75
41,k,39.jpeg,266.5,152.75
42,k,9.jpeg,394.5,364.75
43,k,21.jpeg,474.5,234.75
44,l,23.jpeg,298.5,14.75
45,l,39.jpeg,367.5,512.75
46,l,9.jpeg,334.5,650.75
47,l,21.jpeg,323.5,444.75
48,m,23.jpeg,N/A,N/A
49,m,39.jpeg,233.5,188.75
50,m,9.jpeg,229.5,225.75
51,m,21.jpeg,230.5,122.75
52,n,23.jpeg,296.5,360.75
53,n,39.jpeg,394.5,187.75
54,n,9.jpeg,129.5,153.75
55,n,21.jpeg,196.5,230.75
56,o,23.jpeg,369.5,513.75
57,o,39.jpeg,189.5,333.75
58,o,9.jpeg,398.5,294.75
59,o,21.jpeg,45.5,337.75
60,p,23.jpeg,N/A,N/A
61,p,39.jpeg,199.5,504.75
62,p,9.jpeg,120.5,359.75
63,p,21.jpeg,159.5,291.75
64,q,23.jpeg,437.5,827.75
65,q,39.jpeg,266.5,199.75
66,q,9.jpeg,187.5,339.75
67,q,21.jpeg,N/A,N/A
68,r,23.jpeg,329.5,162.75
69,r,39.jpeg,92.5,396.75
70,r,9.jpeg,335.5,749.75
71,r,21.jpeg,95.5,643.75
